id,block,trial,rt,n_incorrect,mu_c,mu_a,sd_c,sd_a,threshold,c,a,n_learning,vignette,units,interval,valence,manipulation_check_c,manipulation_check_a
05c46k8oqvkva1p4nw43ernv9y2ck4t2,2,20,1567,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.750428816466552,0.596054888507719
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,21,1622,2,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,22,4299,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,23,1266,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,24,1083,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,25,1747,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,26,1143,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,27,1229,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,28,1588,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,29,2021,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,3,30,1121,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.745283018867925,0.590909090909091
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,31,1349,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,32,1303,2,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,33,1548,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,34,1357,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,35,1479,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,36,10267,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,37,1253,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,38,1272,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,39,1520,0,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
05c46k8oqvkva1p4nw43ernv9y2ck4t2,4,40,1905,1,75,75,25,25,167,84,84,10,funding,student,year,positive,0.746998284734134,0.637221269296741
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,1,18497,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,2,5798,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,3,1662,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,4,1429,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,5,1578,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,6,5199,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,7,1715,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,8,1665,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,9,5649,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,1,10,1698,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.654266723842196,0.556844982847341
06k89hqm0o8cx86dulv5bpsbh49bld0m,2,11,12515,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.379663379073756,0.890625
06k89hqm0o8cx86dulv5bpsbh49bld0m,2,12,2511,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.379663379073756,0.890625
06k89hqm0o8cx86dulv5bpsbh49bld0m,2,13,3767,0,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.379663379073756,0.890625
06k89hqm0o8cx86dulv5bpsbh49bld0m,2,14,1514,1,25,75,25,25,167,84,84,10,savings,dollar,month,positive,0.379663379073756,0.890625
